#OBJECT = ASxtw
#MJD-OBS = 58844.350729
#DATE-OBS = 2019-12-27T08:25:03
#EXPTIME = 2420.000000
#AIRMASS = 2.197000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3305.060000 2.734111e-16 8.560202e-33
3307.060000 2.810967e-16 7.687716e-33
3309.060000 2.310122e-16 7.855610e-33
3311.060000 1.397614e-16 8.701456e-33
3313.060000 1.655686e-16 9.600202e-33
3315.060000 4.814925e-17 9.021233e-33
3317.060000 1.548128e-16 7.394857e-33
3319.060000 4.306030e-16 6.575086e-33
3321.060000 6.006990e-16 6.681343e-33
3323.060000 5.847959e-16 7.679645e-33
3325.060000 5.727939e-16 9.139280e-33
3327.060000 3.906104e-16 8.533658e-33
3329.060000 2.343725e-16 7.320894e-33
3331.060000 2.360758e-16 6.385919e-33
3333.060000 2.635649e-16 6.153262e-33
3335.060000 2.378028e-16 6.697388e-33
3337.060000 1.273089e-16 8.243818e-33
3339.060000 -5.033105e-17 8.225979e-33
3341.060000 1.421577e-16 6.859175e-33
3343.060000 3.025210e-16 5.820104e-33
3345.060000 3.670815e-16 5.424535e-33
3347.060000 3.447798e-16 5.755897e-33
3349.060000 3.031800e-16 6.596252e-33
3351.060000 4.421007e-16 7.261779e-33
3353.060000 5.246463e-16 6.444955e-33
3355.060000 4.011320e-16 5.363760e-33
3357.060000 2.970222e-16 4.835605e-33
3359.060000 2.394153e-16 4.997993e-33
3361.060000 2.205139e-16 5.773422e-33
3363.060000 2.247738e-16 6.670633e-33
3365.060000 1.743776e-16 6.274279e-33
3367.060000 2.702039e-16 5.482036e-33
3369.060000 3.000514e-16 4.820749e-33
3371.060000 3.586192e-16 4.823736e-33
3373.060000 4.260693e-16 5.482573e-33
3375.060000 3.424084e-16 6.462935e-33
3377.060000 1.021127e-16 6.279076e-33
3379.060000 2.126144e-16 5.303142e-33
3381.060000 3.164209e-16 4.516180e-33
3383.060000 3.744321e-16 4.300047e-33
3385.060000 3.699865e-16 4.649919e-33
3387.060000 3.229041e-16 5.433414e-33
3389.060000 4.517962e-16 5.705018e-33
3391.060000 4.194231e-16 4.884192e-33
3393.060000 3.650003e-16 4.024946e-33
3395.060000 2.772780e-16 3.918306e-33
3397.060000 2.097374e-16 4.361933e-33
3399.060000 2.105814e-16 4.960198e-33
3401.060000 2.417762e-16 5.435341e-33
3403.060000 2.886642e-16 4.769487e-33
3405.060000 3.542943e-16 3.938727e-33
3407.060000 4.071446e-16 3.528254e-33
3409.060000 4.991204e-16 3.609869e-33
3411.060000 6.141240e-16 4.102489e-33
3413.060000 5.850019e-16 4.830111e-33
3415.060000 5.662551e-16 4.596596e-33
3417.060000 5.548565e-16 3.825953e-33
3419.060000 5.085360e-16 3.266872e-33
3421.060000 4.758176e-16 3.212908e-33
3423.060000 4.553070e-16 3.631270e-33
3425.060000 4.014710e-16 4.276145e-33
3427.060000 5.478535e-16 4.243270e-33
3429.060000 4.848432e-16 3.503027e-33
3431.060000 4.651686e-16 2.987085e-33
3433.060000 4.926593e-16 2.838935e-33
3435.060000 5.187886e-16 3.073758e-33
3437.060000 4.908001e-16 3.627204e-33
3439.060000 5.410931e-16 3.839182e-33
3441.060000 5.291874e-16 3.299958e-33
3443.060000 5.190600e-16 2.756680e-33
3445.060000 4.503037e-16 2.484110e-33
3447.060000 3.829600e-16 2.594199e-33
3449.060000 3.594275e-16 3.176152e-33
3451.060000 2.501058e-16 3.453422e-33
3453.060000 1.508365e-16 3.190349e-33
3455.060000 2.626256e-16 2.611666e-33
3457.060000 4.109958e-16 2.338721e-33
3459.060000 4.648485e-16 2.385328e-33
3461.060000 4.302077e-16 2.694876e-33
3463.060000 5.337557e-16 3.109772e-33
3465.060000 4.496342e-16 3.011593e-33
3467.060000 2.715005e-16 2.490735e-33
3469.060000 2.362885e-16 2.187678e-33
3471.060000 2.429800e-16 2.155242e-33
3473.060000 2.454231e-16 2.383934e-33
3475.060000 2.570887e-16 2.753372e-33
3477.060000 3.342411e-16 2.928497e-33
3479.060000 3.568835e-16 2.496399e-33
3481.060000 4.316898e-16 2.132797e-33
3483.060000 4.251688e-16 2.025220e-33
3485.060000 3.654935e-16 2.189893e-33
3487.060000 3.470503e-16 2.529870e-33
3489.060000 4.140466e-16 2.709389e-33
3491.060000 4.023601e-16 2.393048e-33
3493.060000 3.520219e-16 1.968143e-33
3495.060000 3.808263e-16 1.796960e-33
3497.060000 3.961891e-16 1.879899e-33
3499.060000 3.402059e-16 2.150823e-33
3501.060000 3.948332e-16 2.459822e-33
3503.060000 4.323315e-16 2.306245e-33
3505.060000 4.684594e-16 1.937318e-33
3507.060000 4.549576e-16 1.746694e-33
3509.060000 4.222499e-16 1.784817e-33
3511.060000 4.138148e-16 2.032011e-33
3513.060000 4.782107e-16 2.409983e-33
3515.060000 4.284262e-16 2.360800e-33
3517.060000 4.408757e-16 1.944400e-33
3519.060000 4.363934e-16 1.658925e-33
3521.060000 4.095211e-16 1.611078e-33
3523.060000 4.003401e-16 1.790733e-33
3525.060000 4.683685e-16 2.156142e-33
3527.060000 4.769090e-16 2.177991e-33
3529.060000 5.120024e-16 1.861169e-33
3531.060000 4.328125e-16 1.576533e-33
3533.060000 3.367305e-16 1.494309e-33
3535.060000 2.800671e-16 1.623982e-33
3537.060000 3.011087e-16 1.912572e-33
3539.060000 4.507255e-16 2.190463e-33
3541.060000 3.609687e-16 1.986702e-33
3543.060000 3.142402e-16 1.665958e-33
3545.060000 2.719556e-16 1.519756e-33
3547.060000 2.567478e-16 1.581698e-33
3549.060000 2.764014e-16 1.806118e-33
3551.060000 2.799745e-16 2.050893e-33
3553.060000 2.997873e-16 1.948979e-33
3555.060000 3.679479e-16 1.617939e-33
3557.060000 3.489320e-16 1.426732e-33
3559.060000 3.243425e-16 1.437571e-33
3561.060000 3.322816e-16 1.639279e-33
3563.060000 3.338287e-16 1.951167e-33
3565.060000 3.265800e-16 1.891763e-33
3567.060000 2.575867e-16 1.527227e-33
3569.060000 2.021190e-16 1.319718e-33
3571.060000 2.727984e-16 1.290210e-33
3573.060000 3.894844e-16 1.438380e-33
3575.060000 3.660586e-16 1.684721e-33
3577.060000 2.885482e-16 1.776954e-33
3579.060000 2.619604e-16 1.561723e-33
3581.060000 2.744857e-16 1.292833e-33
3583.060000 3.035036e-16 1.208960e-33
3585.060000 3.403164e-16 1.307502e-33
3587.060000 3.731177e-16 1.567595e-33
3589.060000 3.568256e-16 1.678603e-33
3591.060000 2.700252e-16 1.503106e-33
3593.060000 2.844299e-16 1.251241e-33
3595.060000 3.281375e-16 1.136089e-33
3597.060000 3.362866e-16 1.178280e-33
3599.060000 3.088165e-16 1.350369e-33
3601.060000 3.912398e-16 1.549347e-33
3603.060000 3.743645e-16 1.471523e-33
3605.060000 3.967636e-16 1.227720e-33
3607.060000 4.020808e-16 1.092144e-33
3609.060000 4.023952e-16 1.104443e-33
3611.060000 4.175193e-16 1.264326e-33
3613.060000 4.687408e-16 1.509015e-33
3615.060000 4.806657e-16 1.537916e-33
3617.060000 3.682574e-16 1.283637e-33
3619.060000 3.765163e-16 1.136322e-33
3621.060000 4.424407e-16 1.112830e-33
3623.060000 4.727253e-16 1.228990e-33
3625.060000 3.850246e-16 1.394013e-33
3627.060000 3.389299e-16 1.462466e-33
3629.060000 3.065204e-16 1.392094e-33
3631.060000 3.509824e-16 1.201783e-33
3633.060000 4.119437e-16 1.124158e-33
3635.060000 4.562944e-16 1.197564e-33
3637.060000 4.775540e-16 1.390425e-33
3639.060000 5.501651e-16 1.535876e-33
3641.060000 4.855646e-16 1.394820e-33
3643.060000 4.729022e-16 1.157635e-33
3645.060000 4.813564e-16 1.052626e-33
3647.060000 4.752770e-16 1.089795e-33
3649.060000 4.421118e-16 1.244389e-33
3651.060000 4.156176e-16 1.424866e-33
3653.060000 4.619032e-16 1.369345e-33
3655.060000 4.523011e-16 1.140052e-33
3657.060000 3.817389e-16 1.001033e-33
3659.060000 3.405194e-16 9.944502e-34
3661.060000 3.548618e-16 1.114760e-33
3663.060000 3.815284e-16 1.310328e-33
3665.060000 3.831483e-16 1.314715e-33
3667.060000 4.445355e-16 1.109083e-33
3669.060000 4.367980e-16 9.436458e-34
3671.060000 4.025245e-16 8.962107e-34
3673.060000 3.587244e-16 9.680936e-34
3675.060000 3.254384e-16 1.117890e-33
3677.060000 4.569397e-16 1.194746e-33
3679.060000 4.896901e-16 1.065239e-33
3681.060000 3.969142e-16 9.010417e-34
3683.060000 3.466398e-16 8.229170e-34
3685.060000 3.615075e-16 8.622497e-34
3687.060000 4.113405e-16 1.017648e-33
3689.060000 4.190806e-16 1.146221e-33
3691.060000 3.822798e-16 1.052612e-33
3693.060000 3.841597e-16 8.827801e-34
3695.060000 4.302085e-16 8.056295e-34
3697.060000 4.511781e-16 8.315148e-34
3699.060000 4.353467e-16 9.453325e-34
3701.060000 4.815573e-16 1.115722e-33
3703.060000 4.726793e-16 1.095541e-33
3705.060000 4.296178e-16 9.105321e-34
3707.060000 4.699207e-16 7.970511e-34
3709.060000 4.969246e-16 7.833327e-34
3711.060000 4.922554e-16 8.690626e-34
3713.060000 5.083481e-16 1.062568e-33
3715.060000 5.204354e-16 1.111888e-33
3717.060000 4.439784e-16 9.298093e-34
3719.060000 4.007937e-16 7.886924e-34
3721.060000 4.005326e-16 7.466521e-34
3723.060000 4.471782e-16 8.097918e-34
3725.060000 5.264375e-16 9.667869e-34
3727.060000 5.488318e-16 1.078498e-33
3729.060000 4.790997e-16 9.547798e-34
3731.060000 4.855959e-16 8.102332e-34
3733.060000 5.190997e-16 7.567442e-34
3735.060000 5.505795e-16 8.089911e-34
3737.060000 5.611680e-16 9.522077e-34
3739.060000 5.530071e-16 1.071858e-33
3741.060000 5.348062e-16 9.989919e-34
3743.060000 4.913637e-16 8.309681e-34
3745.060000 5.020265e-16 7.518809e-34
3747.060000 5.219419e-16 7.719717e-34
3749.060000 5.092404e-16 8.832909e-34
3751.060000 4.450832e-16 1.028974e-33
3753.060000 3.446017e-16 9.900623e-34
3755.060000 3.237767e-16 8.134437e-34
3757.060000 4.023269e-16 7.120599e-34
3759.060000 4.561364e-16 7.019424e-34
3761.060000 4.618698e-16 7.846467e-34
3763.060000 4.738997e-16 9.187947e-34
3765.060000 4.783958e-16 9.578048e-34
3767.060000 4.578699e-16 8.433371e-34
3769.060000 4.240822e-16 7.182781e-34
3771.060000 4.279786e-16 6.794279e-34
3773.060000 4.388585e-16 7.337898e-34
3775.060000 4.168367e-16 8.514799e-34
3777.060000 4.532365e-16 9.584669e-34
3779.060000 4.624143e-16 8.645753e-34
3781.060000 4.441890e-16 7.191123e-34
3783.060000 4.200077e-16 6.631371e-34
3785.060000 4.011079e-16 7.042160e-34
3787.060000 3.816391e-16 8.378645e-34
3789.060000 3.129771e-16 9.861394e-34
3791.060000 3.391868e-16 9.112454e-34
3793.060000 4.105912e-16 7.227524e-34
3795.060000 4.367212e-16 6.273352e-34
3797.060000 4.322209e-16 6.242991e-34
3799.060000 4.228592e-16 7.009647e-34
3801.060000 4.364264e-16 8.347395e-34
3803.060000 4.841394e-16 8.436367e-34
3805.060000 4.696025e-16 7.052059e-34
3807.060000 5.200131e-16 6.104941e-34
3809.060000 5.212742e-16 5.891825e-34
3811.060000 4.572214e-16 6.432570e-34
3813.060000 3.882287e-16 7.637956e-34
3815.060000 4.647601e-16 8.147803e-34
3817.060000 5.163269e-16 7.346031e-34
3819.060000 5.131087e-16 6.335450e-34
3821.060000 4.889343e-16 6.003061e-34
3823.060000 4.702886e-16 6.490923e-34
3825.060000 4.735315e-16 7.603676e-34
3827.060000 4.754234e-16 8.407410e-34
3829.060000 4.707641e-16 7.889370e-34
3831.060000 5.035552e-16 6.731379e-34
3833.060000 4.909935e-16 6.099422e-34
3835.060000 4.742129e-16 6.307219e-34
3837.060000 4.797234e-16 7.264984e-34
3839.060000 4.570730e-16 8.362931e-34
3841.060000 4.383994e-16 8.087177e-34
3843.060000 4.388359e-16 6.773217e-34
3845.060000 4.681287e-16 5.931767e-34
3847.060000 4.886176e-16 5.928638e-34
3849.060000 4.836587e-16 6.730148e-34
3851.060000 4.639263e-16 8.006120e-34
3853.060000 4.067861e-16 7.946523e-34
3855.060000 4.206786e-16 6.588201e-34
3857.060000 4.319774e-16 5.660390e-34
3859.060000 4.410536e-16 5.448010e-34
3861.060000 4.493310e-16 5.974816e-34
3863.060000 4.597564e-16 7.097802e-34
3865.060000 4.859560e-16 7.610846e-34
3867.060000 4.377595e-16 6.560852e-34
3869.060000 3.849701e-16 5.516098e-34
3871.060000 3.598232e-16 5.161283e-34
3873.060000 3.489423e-16 5.527777e-34
3875.060000 3.400893e-16 6.404366e-34
3877.060000 3.905327e-16 7.134903e-34
3879.060000 3.832361e-16 6.807058e-34
3881.060000 3.921526e-16 5.737337e-34
3883.060000 3.975258e-16 5.178978e-34
3885.060000 4.049307e-16 5.344124e-34
3887.060000 4.311346e-16 6.173833e-34
